UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
160503,LORETO,REQUENA,CAPELO,119812,Flor de Punga,FLOR DE PUNGA,3,1,IPSLD,1605030001,,1605030001,MED-GPS,104,-74.15783618,-5.40483938,-79.56267556
101105,HUANUCO,YAROWILCA,JACAS CHICO,125535,San Cristobal de Jacas Chico,SAN CRISTOBAL DE JACAS CHICO,3,1,IPS,1011050001,,1011050001,MED-GPS,3794,-76.50317305,-9.88625092,-86.38942397
100803,HUANUCO,PACHITEA,MOLINO,114592,Molino,MOLINO,3,1,IPSD,1008030001,,1008030001,MED-GPS,2377,-76.01643782,-9.9102141,-85.92665192
101108,HUANUCO,YAROWILCA,CHORAS,133148,Choras,CHORAS,3,1,IPS,1011080001,,1011080001,MED-GPS,3533,-76.60585288,-9.91001797,-86.51587085
101103,HUANUCO,YAROWILCA,CHACABAMBA,250712,Chacabamba,CHACABAMBA,3,1,IPS,1011030001,,1011030001,MED-GPS,3186,-76.61100208,-9.90085169,-86.51185377
21104,ANCASH,HUARMEY,HUAYAN,131889,Huayan,HUAYAN,3,1,IPS,211040001,,211040001,MED-GPS,2707,-77.70810145,-9.87509522,-87.58319667
100311,HUANUCO,DOS DE MAYO,MARIAS,114380,Marias,MARIAS,3,1,IPS,1003110001,,1003110001,MED-GPS,3484,-76.7065324,-9.60712401,-86.31365641
100804,HUANUCO,PACHITEA,UMARI,114871,Tambillo,TAMBILLO,3,1,IPS,1008040001,,1008040001,MED-GPS,2502,-76.04451854,-9.86380497,-85.90832351
100106,HUANUCO,HUANUCO,QUISQUI (KICHKI),552572,Huancapallac,HUANCAPALLAC,3,1,GIPSL,1001060001,,1001060001,MED-GPS,2405,-76.39209314,-9.90475157,-86.29684471
100109,HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,128282,Santa Maria del Valle,SANTA MARIA DEL VALLE,3,1,IPSK,1001090001,,1001090001,MED-GPS,1914,-76.16995393,-9.86271221,-86.03266614
20508,ANCASH,BOLOGNESI,HUALLANCA,124495,Huallanca,HUALLANCA,3,1,IPSD,205080001,,205080001,MED-GPS,3547,-76.9416436,-9.89931604,-86.84095964
101102,HUANUCO,YAROWILCA,CAHUAC,128314,Cahuac,CAHUAC,3,1,IPSL,1011020001,,1011020001,MED-GPS,3385,-76.63067298,-9.85273011,-86.48340309
190308,PASCO,OXAPAMPA,CONSTITUCION,124332,Constitucion / Ciudad Constitucion,CONSTITUCION / CIUDAD CONSTITUCION,3,1,GIPSKD,1903080001,1903080018,1903080001,MED-GPS,237,-75.01737381,-9.85719725,-84.87457106
20205,ANCASH,AIJA,SUCCHA,123699,Succha,SUCCHA,3,1,IPS,202050001,,202050001,MED-GPS,3140,-77.65001022,-9.82333239,-87.47334261
100609,HUANUCO,LEONCIO PRADO,PUEBLO NUEVO,242277,Pueblo Nuevo,PUEBLO NUEVO,3,1,GIPS,1006090001,,1006040057,MED-GPS,591,-76.06332123,-9.07815774,-85.14147897
20202,ANCASH,AIJA,CORIS,117252,Coris,CORIS,3,1,GIPS,202020001,,202020001,MED-GPS,2891,-77.71913083,-9.82049994,-87.53963077
20103,ANCASH,HUARAZ,COLCABAMBA,131357,Colcabamba,COLCABAMBA,3,1,IP,201030001,,201030001,MED-GPS,3142,-77.80881123,-9.59474921,-87.40356044
101104,HUANUCO,YAROWILCA,APARICIO POMARES,124279,Chupan,CHUPAN,3,1,IPS,1011040001,,1011040001,MED-GPS,3418,-76.64826913,-9.74782989,-86.39609902
