UBIGEO,DEP,PROV,DIST,CODCP,NOMCP,MNOMCP,CAPITAL,CON_IE,NIVEL,CPINEI,CPINEI2,CPINEI_BKP,FUENTE_G,Z,XGD,YGD,Y_X_COORD
250101,UCAYALI,CORONEL PORTILLO,CALLERIA,128985,Pucallpa,PUCALLPA,1,1,GIPSKLED,2501010001,,2501010001,MED-GPS,153,-74.53224034,-8.38324295,-82.91548329
130101,LA LIBERTAD,TRUJILLO,TRUJILLO,535994,Trujillo,TRUJILLO,1,1,GIPSKLED,1301010001,,1301010001,MED-GPS,37,-79.02868652,-8.11176389,-87.14045041
200101,PIURA,PIURA,PIURA,117723,Piura,PIURA,1,1,GIPSKLED,2001010001,,2001010001,MED-GPS,36,-80.62654749,-5.1971641,-85.82371159
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,121675,Chiclayo,CHICLAYO,1,1,GIPSKLED,1401010001,,1401010001,MED-GPS,35,-79.83866166,-6.77150465,-86.61016631
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,131197,Chachapoyas,CHACHAPOYAS,1,1,GIPSKLED,101010001,,101010001,Gobierno Regional,2338,-77.8724339,-6.22940827,-84.10184217
220101,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,125282,Moyobamba,MOYOBAMBA,1,1,GIPSKLED,2201010001,,2201010001,MED-GPS,874,-76.97466665,-6.03466877,-83.00933542
110101,ICA,ICA,ICA,131058,Ica,ICA,1,1,GIPSKLED,1101010001,,1101010001,MED-GPS,418,-75.72920238,-14.06393532,-89.7931377
90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,132420,Huancavelica,HUANCAVELICA,1,1,GIPSKLD,901010001,,901010001,MED-GPS,3681,-74.97310128,-12.78719172,-87.760293
170101,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,126275,Puerto Maldonado,PUERTO MALDONADO,1,1,GIPSKLED,1701010001,,1701010001,MED-GPS,205,-69.17624914,-12.59421679,-81.77046593
160101,LORETO,MAYNAS,IQUITOS,114683,Iquitos,IQUITOS,1,1,GIPSKLED,1601010001,,1601010001,MED-GPS,102,-73.24436621,-3.74934598,-76.99371219
240101,TUMBES,TUMBES,TUMBES,113264,Tumbes,TUMBES,1,1,GIPSKLED,2401010001,,2401010001,MED-GPS,9,-80.45957215,-3.5708339,-84.03040605
100101,HUANUCO,HUANUCO,HUANUCO,131018,Huanuco,HUANUCO,1,1,GIPSKLED,1001010001,,1001010001,MED-GPS,1899,-76.23964566,-9.92954506,-86.16919072
210101,PUNO,PUNO,PUNO,126516,Puno,PUNO,1,1,GIPSKLED,2101010001,,2101010001,MED-GPS,3848,-70.02800689,-15.84061229,-85.86861918
70101,CALLAO,CALLAO,CALLAO,514069,Callao,CALLAO,1,1,GIPSKLED,701010001,,701010001,MED-GPS,9,-77.14068058,-12.06034168,-89.20102226
60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,131559,Cajamarca,CAJAMARCA,1,1,GIPSKLED,601010001,,601010001,MED-GPS,2722,-78.51752139,-7.15706855,-85.67458994
180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,122964,Moquegua,MOQUEGUA,1,1,GIPSKLED,1801010001,,1801010001,MED-GPS,1427,-70.93469733,-17.19380361,-88.12850094
20101,ANCASH,HUARAZ,HUARAZ,114517,Huaraz,HUARAZ,1,1,GIPSKLED,201010001,,201010001,MED-GPS,3061,-77.52885187,-9.5300209,-87.05887277
120101,JUNIN,HUANCAYO,HUANCAYO,122829,Huancayo,HUANCAYO,1,1,GIPSKLED,1201010001,,1201010001,MED-GPS,3256,-75.21005132,-12.0679591,-87.27801042
230101,TACNA,TACNA,TACNA,126488,Tacna,TACNA,1,1,GIPSKLED,2301010001,,2301010001,MED-GPS,577,-70.2507964,-18.0137008,-88.2644972
40101,AREQUIPA,AREQUIPA,AREQUIPA,523273,Arequipa,AREQUIPA,1,1,GIPSKLED,401010001,,401010001,MED-GPS,2347,-71.5369584,-16.39892966,-87.93588806
30101,APURIMAC,ABANCAY,ABANCAY,116199,Abancay,ABANCAY,1,1,IPSKLED,301010001,,301010001,MED-GPS,2382,-72.87887764,-13.6373465,-86.51622414
80101,CUSCO,CUSCO,CUSCO,133458,Cusco,CUSCO,1,1,GIPSKLED,801010001,,801010001,MED-GPS,3400,-71.97876215,-13.51670179,-85.49546394
50101,AYACUCHO,HUAMANGA,AYACUCHO,112735,Ayacucho,AYACUCHO,1,1,GIPSKLED,501010001,,501010001,MED-GPS,2750,-74.22577607,-13.16027034,-87.38604641
150101,LIMA,LIMA,LIMA,523312,Lima Cercado,LIMA CERCADO,1,1,GIPSKLED,1501010001,,1501010001,MED-GPS,156,-77.03049615,-12.04591952,-89.07641567
190101,PASCO,PASCO,CHAUPIMARCA,128316,Cerro de Pasco,CERRO DE PASCO,1,1,GIPSKLED,1901010001,,1901010001,MED-GPS,4340,-76.25618189,-10.68366212,-86.93984401
