CODLOCAL,CEN_EDU_L,CODCPSIG,NOMCPSIG,FUENTE_LOC,X_LONGITUD,Y_LATITUD,Fecha,VAL,NALT_LOCAL,CORD_YX
323774,035 ISABEL FLORES DE OLIVA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB,-77.01207000000,-12.00082000000,12/23/2013,,218,-12.00082-77.01207
323806,0038,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB,-77.01813000000,-12.00682000000,12/23/2013,,244,-12.00682-77.01813
323854,00057 PASITOS DE JESUS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB,-77.00265000000,-11.99352000000,12/23/2013,,219,-11.99352-77.00265
323873,0061 LAS VIOLETAS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB,-77.00800000000,-12.01479000000,12/23/2013,,210,-12.01479-77.008
323892,0063 VIRGEN DE LOURDES,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB,-76.99590000000,-11.99729000000,12/23/2013,,234,-11.99729-76.9959
323929,0073 ARRIBA PERU,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB,-76.99501000000,-11.95728000000,12/23/2013,,295,-11.95728-76.99501
323934,0079 CUNA JARDIN,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB,-76.99181000000,-11.95079000000,12/23/2013,,320,-11.95079-76.99181
323948,0080 LAS TERRAZAS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB,-77.01349000000,-11.97328000000,12/23/2013,,261,-11.97328-77.01349
323953,0083,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.97990000000,-12.01020000000,11/7/2014,,257,-12.0102-76.9799
323967,0084 VIRGEN MARIA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB,-77.00210000000,-11.99893000000,12/23/2013,,217,-11.99893-77.0021
323986,0086 CAMPOY,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB,-76.96828000000,-12.01911000000,12/23/2013,,276,-12.01911-76.96828
323991,0092,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB,-76.99156000000,-11.95743000000,12/23/2013,,298,-11.95743-76.99156
324009,0093 CUNA JARDIN,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB,-77.01774000000,-11.99780000000,12/23/2013,,236,-11.9978-77.01774
324014,0149 JORGE CIEZA LACHOS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB,-76.98364000000,-12.00852000000,12/23/2013,,258,-12.00852-76.98364
324033,0099 KAROL WOJTYLA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB,-76.99273000000,-11.94085000000,12/23/2013,,367,-11.94085-76.99273
324047,0101 RAYITO DE LUZ,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB,-77.01241000000,-12.03125000000,12/23/2013,,182,-12.03125-77.01241
325283,SAN ANTONIO DE JICAMARCA,550652,SAN JUAN DE LURIGANCHO,GPS_OTRAS_FUENTES,-76.96548500000,-11.93262500000,7/13/2016,,462,-11.932625-76.965485
0575527,YURAC URPI 3 FELICIDAD,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00725000000,-11.99896000000,8/29/2016,,221,-11.99896-77.00725
0575528,YURAC URPI 3 SOLIDADRIDAD,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99684000000,-11.99837000000,8/29/2016,,228,-11.99837-76.99684
0575529,YURAC URPI 3 ESPERANZA,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99682000000,-11.99831000000,8/29/2016,,228,-11.99831-76.99682
778420,PAMER ZARATE,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98963000000,-12.01699000000,8/8/2016,,229,-12.01699-76.98963
3716238,PERLITAS BRILLANTES I,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98785000000,-11.96305000000,8/26/2016,,294,-11.96305-76.98785
3716245,MICAELA BASTIDAS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.98517000000,-11.94422000000,8/31/2016,,350,-11.94422-76.98517
3716246,ESTRELLITA DE BELEN - A,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.02051000000,-11.99374000000,8/25/2016,,296,-11.99374-77.02051
3716229,PEQUE├æOS PASITOS A,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.97592000000,-11.98341000000,8/26/2016,,384,-11.98341-76.97592
0642317,ANGELITOS DE JESUS II,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.97011000000,-11.94571000000,8/25/2016,,515,-11.94571-76.97011
3721924,ESTRELLITA DE BELEN II,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.95457000000,-11.95222000000,8/25/2016,,709,-11.95222-76.95457
3716250,LAPIZ Y COLORES AZUL,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99240000000,-11.94651000000,8/29/2016,,363,-11.94651-76.9924
3716240,LOS ANGELES DE JESUS II,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99234000000,-11.96015000000,8/26/2016,,293,-11.96015-76.99234
3712830,PEQUE├æOS EINTEIN,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00395000000,-12.02744000000,8/25/2016,,204,-12.02744-77.00395
3721912,FAMILIA I,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00313000000,-11.95209000000,8/23/2016,,320,-11.95209-77.00313
3716234,LOS ANGELES DE JESUS II,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-76.99227000000,-11.96017000000,8/26/2016,,293,-11.96017-76.99227
3716232,YURAC URPI SONRISAS,550652,SAN JUAN DE LURIGANCHO,UBICACION_WEB_MED,-77.00723000000,-11.99896000000,8/29/2016,,221,-11.99896-77.00723
