CODLOCAL,CEN_EDU_L,CODCPSIG,NOMCPSIG,FUENTE_LOC,X_LONGITUD,Y_LATITUD,Fecha,VAL,NALT_LOCAL,CORD_YX
036891,88312,122032,ANTA,MED_GPS,-78.07380343600,-9.24839784300,5/27/2016,,1780,-9.248397843-78.073803436
036787,88043,617406,HUELLAPAMPA,MED_GPS,-78.09315335200,-9.23578408400,5/27/2016,,1448,-9.235784084-78.093153352
037206,88367,564061,SAN PEDRITO,MED_GPS,-78.44923789200,-9.23710553000,5/31/2016,,33,-9.23710553-78.449237892
037112,89537,112942,CAPELLANIA,MED_GPS,-78.37994548900,-9.20134555300,5/30/2016,,100,-9.201345553-78.379945489
037089,89510,123595,CERRO BLANCO,MED_GPS,-78.34166467900,-9.18405910900,5/30/2016,,152,-9.184059109-78.341664679
037013,MARCOS EVARISTO VILLACRE,113710,NEPE├æA,MED_GPS,-78.35752503100,-9.17538641700,5/30/2016,,140,-9.175386417-78.357525031
036914,88343,117741,YAPACAYAN,MED_GPS,-78.06919586500,-9.17091441200,5/26/2016,,1350,-9.170914412-78.069195865
803783,HIGH SCHOOL CATOLICA VIRGEN DE GUADALUPE,113710,NEPE├æA,MED_GPS,-78.35663547800,-9.17161288200,5/30/2016,,142,-9.171612882-78.356635478
036928,88359,115110,BRE├æA,MED_GPS,-78.07727086200,-9.16509339700,5/26/2016,,1211,-9.165093397-78.077270862
036933,88372,126175,VIRAHUANCA,MED_GPS,-78.20060977100,-9.16087957400,5/27/2016,,420,-9.160879574-78.200609771
036829,88082,132018,BRE├æA ISCO,MED_GPS,-78.09026052800,-9.15743443100,5/26/2016,,1044,-9.157434431-78.090260528
037051,88099,110298,SAN JOSE,MED_GPS,-78.32775419900,-9.15606710200,5/30/2016,,189,-9.156067102-78.327754199
036773,88007,547166,WINTON,MED_GPS,-78.11005747300,-9.14913538200,5/26/2016,,884,-9.149135382-78.110057473
036848,88259,120737,HUARCOS,MED_GPS,-78.16405913400,-9.14950972700,5/27/2016,,565,-9.149509727-78.164059134
037094,89501 MANUEL ENCARNACION ROJO CASTILLO,119806,SAN JACINTO,MED_GPS,-78.28420089300,-9.14781365500,5/30/2016,,257,-9.147813655-78.284200893
037107,89509 AMANDA MIASTA GUTIERREZ,119806,SAN JACINTO,MED_GPS,-78.28350375800,-9.14742533300,5/30/2016,,257,-9.147425333-78.283503758
807781,SCHOOL KINDER KING,683073,SOLIDEX ALTO,MED_GPS,-78.28369677700,-9.14655125900,5/30/2016,,264,-9.146551259-78.283696777
